title,viewCount,likeCount,dislikeCount,commentCount,publishedAt
NiziU(니쥬) 1st Album 「Chopstick」 MV,11210678,343218,9346,28752,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11222601,343356,9353,28765,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11253508,343601,9370,28794,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11288453,343883,9384,28826,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11302431,344021,9387,28847,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11340203,344279,9394,28895,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11361210,344430,9404,28917,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11376033,344563,9418,28936,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11399558,344692,9423,28942,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11436736,345016,9437,29000,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11459007,345241,9445,29021,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11479072,345401,9456,29038,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11507729,345693,9472,29094,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11536729,345895,9482,29113,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11566772,346038,9486,29125,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11588323,346277,9502,29163,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11659995,346602,9523,29204,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11718862,346800,9533,29221,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11730000,346974,9547,29250,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11753564,347303,9553,29288,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11779045,347475,9561,29317,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11802477,347654,9563,29356,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11813973,347802,9565,29387,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11850991,348382,9578,29518,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11888574,348795,9592,29629,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11940127,349191,9605,29711,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11975301,349382,9609,29731,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,11997455,349587,9614,29787,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12058681,350044,9627,29922,2021-11-10T15:00:13Z
