再生回数,取得日時
12390979,2021/11/15 08:29:04
12402862,2021/11/15 08:43:10
12408290,2021/11/15 08:56:09
12465614,2021/11/15 10:11:19
12511001,2021/11/15 11:06:50
12545805,2021/11/15 11:40:44
12558365,2021/11/15 11:55:32
12571999,2021/11/15 12:23:04
12589655,2021/11/15 12:40:55
12600337,2021/11/15 12:53:49
12627831,2021/11/15 13:23:49
12653628,2021/11/15 13:50:38
12664000,2021/11/15 14:09:35
12674205,2021/11/15 14:28:00
12687034,2021/11/15 14:40:50
12696098,2021/11/15 14:53:36
12724319,2021/11/15 15:21:09
12742013,2021/11/15 15:44:50
12757587,2021/11/15 15:57:40
12775108,2021/11/15 16:22:31
12785717,2021/11/15 16:36:37
12796212,2021/11/15 16:49:39
12821207,2021/11/15 17:09:43
12862691,2021/11/15 17:50:16
12882599,2021/11/15 18:09:55
12913666,2021/11/15 18:31:43
12942295,2021/11/15 18:45:56
12965297,2021/11/15 18:59:02
13008295,2021/11/15 19:27:30
